"Error Estandar" "Error Robusto" "Error Clusterizado"
0.0327 0.0325 0.0295
0.0318 0.0323 0.0352
0.2975 0.2688 0.2111
0.2692 0.3139 0.1815
0.2628 0.2308 0.1732
0.2785 0.2441 0.1958
0.3108 0.3030 0.2262
0.2659 0.2788 0.1780
0.2766 0.2462 0.1939
0.2692 0.2641 0.1824
0.2798 0.2441 0.1974
0.2773 0.2792 0.1924
0.3071 0.2979 0.2183
0.2999 0.3189 0.2108
0.2677 0.2594 0.1795
0.3034 0.2907 0.2152
0.2960 0.3014 0.2075
0.2774 0.2689 0.1935
0.2657 0.2518 0.1747
0.3147 0.3467 0.2309
0.2846 0.2767 0.2061
0.2750 0.2738 0.1914
0.2733 0.2672 0.1890
0.3082 0.3334 0.2226
0.3152 0.3198 0.2306
0.2664 0.2410 0.1790
0.3077 0.3349 0.2223
0.2731 0.2527 0.1884
0.2749 0.2684 0.1937
0.2971 0.2843 0.2064
0.2719 0.2732 0.1850
0.2735 0.2827 0.1875
0.2687 0.2824 0.1802
0.3096 0.2949 0.2241
0.2741 0.2648 0.1888
0.3002 0.2845 0.2132
0.3050 0.2901 0.2186
0.3077 0.2946 0.2201
0.2735 0.3067 0.1878
0.2983 0.2976 0.2091
0.2636 0.2351 0.1729
0.2727 0.3319 0.1875
