"Error Estandar" "Error Robusto" "Error Clusterizado"
0.0305 0.0315 0.0277
0.0309 0.0307 0.0336
0.2941 0.2782 0.2264
0.2894 0.2924 0.2210
0.2865 0.2785 0.2168
0.2838 0.2533 0.2114
0.2904 0.3232 0.2226
0.2902 0.3104 0.2221
0.2965 0.2964 0.2297
0.2894 0.2908 0.2204
0.2834 0.3083 0.2115
0.2978 0.2914 0.2327
0.2871 0.3065 0.2175
0.2833 0.2736 0.2130
0.2958 0.2791 0.2304
0.2963 0.3086 0.2292
0.2990 0.3187 0.2327
0.2914 0.3082 0.2226
0.2902 0.2745 0.2216
0.2929 0.2988 0.2249
0.2846 0.2613 0.2132
0.2900 0.2961 0.2235
0.2908 0.2882 0.2232
0.2891 0.3160 0.2185
0.2913 0.2688 0.2218
0.2889 0.3103 0.2205
0.2855 0.2725 0.2157
0.2954 0.3299 0.2285
0.2979 0.3351 0.2313
0.2989 0.3034 0.2339
0.2828 0.2942 0.2124
0.2925 0.2964 0.2252
0.2879 0.2819 0.2184
0.2843 0.3378 0.2126
0.2947 0.2839 0.2313
0.2957 0.2957 0.2327
0.2893 0.2699 0.2199
0.2856 0.2827 0.2153
0.2959 0.3158 0.2292
0.2795 0.2838 0.2076
0.2863 0.2867 0.2160
0.2897 0.2919 0.2214
